,Date,Project Title,Agency,"EIS production cost included on front cover? (report $ amount or state ""no"")",EJ Community present?,Low-Income Community Present?,Minority Community Present?,Are there disproportionate impacts?,"If there are impacts, what are they doing to mitigate?",Action Type?,Decision Type?,Notes,,Total Time 
6th 20,12/9/2016,Nexus Gas Transmission Project and Texas Eastern Appalachian Lease Project,Federal Energy Regulatory Commission,no,Yes,Yes,No,No,n/a,Mineral Resource Extract,Project,,,
,8/27/2018,Normally Pressured Lance Natural Gas Development Project,Bureau of Land Management,no,No,No,No,No,n/a,Mineral Resource Extract,Project,,,
,2/5/2016,North and West Big Hole Allotment Mangement Plans,Forest Service,no,Yes,Yes,No,Yes,none,Conservation/Restoration,Plan,They say disproportionate impacts to low-income people would be less jobs and effect on the economy.,,
,10/28/2016,"North Cumberland Wildlife Management Area, Tennessee Lands Unsuitable for Mining Petition",Office of Surface Mining Reclamation and Enforcement,no,No,No,No,No,n/a,Mineral Resource Extract,Policy,,,
,5/29/2015,Northwest Colorado Greater Sage-Grouse Proposed Land Use Plan Amendments,Bureau of Land Management,no,No,No,No,Indeterminate,n/a,Conservation/Restoration,Plan,"Says no official EJ communites were found, but that it is possible that smaller communities closer to the site may be effected by job losses.",,
,3/28/2014,Ochoco Summit Trail System,Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Conservation/Restoration,Project,Says no disproportionate imapcts but not whether or not there are EJ communities. ,,
,5/4/2018,Olympic National Park Mountain Goat Management Plan,National Park Service,no,No,No,No,No,n/a,Bio Resource Use,Plan,,,
,12/31/2015,Panoche Valley Solar Project,U.S. Army Corps of Engineers,no,No,No,No,No,n/a,Energy Gen/Trans,Project,,,
,4/14/2017,PennEast Pipeline Project,Federal Energy Regulatory Commission,no,No,No,No,No,n/a,Energy Gen/Trans,Project,,,
,3/13/2015,Pinon Canyon Maneuver Site (PCMS) Training and Operations,United States Army,no,No,No,No,No,n/a,Military Ops.,Project,,,
,11/13/2015,Plains and Eastern Clean Line Transmission Line Project,Department of Energy,no,Yes,Yes,Yes,No,n/a,Energy Gen/Trans,Project,,,
,5/25/2018,Plan Revision for the Coconino National Forest,Forest Service,no,No,No,No,No,n/a,Land Management Plan,Plan,,,
,9/18/2020,Point Reyes National Seashore General Management Plan Amendment,National Park Service,"$1,472,000",No Mention,No Mention,No Mention,No Mention of EJ,n/a,Land Management Plan,Plan,,,
,2/14/2020,Port Bienville Railroad Combined Final Environmental Impact Statement and Record of Decision,Federal Railroad Administration,no,Yes,Yes,Yes,No,n/a,Transport.,Project,,,
,11/25/2016,Port Delfin Project Deepwater Port Application,U.S. Coast Guard,no,Yes,Yes,Yes,No,n/a,Mineral Rsrc Extract,Project,"EJ communities both make up 50% of the population but they also mention that it is not ""meaningfully greater"" than the rest of the population?",,
,11/25/2016,Port Delfin Project Deepwater Port Application,U.S. Coast Guard,no,Yes,Yes,Yes,No,n/a,Mineral Resource Extract,Project,Repeat of line 16?,,
,12/29/2014,Portageville Bridge Project,Federal Highway Administration,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Transport.,Project,Mentions no impacts but no info on EJ communities specifically.,,
,12/20/2017,Power Fire Reforestation,Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Conservation/Restoration,Project,^,,
,7/14/2017,PROGRAMMATIC - Mouse River Enhanced Flood Protection Project,U.S. Army Corps of Engineers,no,No,No,No,No,n/a,Water Works,Program,,,
,2/14/2020,Programmatic EIS for Fuel Breaks in the Great Basin,Bureau of Land Management,"$2,300,000",Yes,Yes,Yes,Indeterminate,n/a,Conservation/Restoration,Program,"There are sites in different states, some of which have Ej communities, and they say effects would depend on the site.",,
