,Date,Project Title,Agency,"EIS production cost included on front cover? (report $ amount or state ""no"")",EJ Community present?,Low-Income Community Present?,Minority Community Present?,Are there disproportionate impacts?,"If there are impacts, what are they doing to mitigate?",Action Type?,Decision Type?,Notes,,Total Time 
7th 20,8/23/2019,"Project No. DPI-0030(005), I-10 Mobile River Bridge and Bayway, Mobile and Baldwin Counties, Alabama",Federal Highway Administration,no,Yes,Yes,Yes,Yes,"They have ""implemented an EJ outreach program using a veriety of types of activities"" They also mention that a complete list of mitigation would be in the ROD.",Water Works,Project,,,5 hours
,11/28/2014,Proposed 2013 Master Plan National Institutes of Health Bethesda Campus,National Institute of Health,no,No,No,No,No,,Gov. Facilities,Plan,,,
,4/19/2013,Proposed Habitat Conservation Plan and Incidental Take Permit for the Indiana Bat (Myotis sodalis) for the Buckeye Wind Power Project,Fish and Wildlife Service,no,No,No,No,No,,Energy Gen/Trans,Project,,,
,9/13/2013,Proposed Issuance of an Incidental Take Permit For the Beech Ridge Energy Wind Project Habitat Conservation Plan,Fish and Wildlife Service,no,No,No,No,No,,Energy Gen/Trans,Plan,,,
,10/12/2018,Proposed Modernization and Expansion of Townsend Bombing Range,United States Navy,no,No,No,No,No,,Military Ops.,Project,,,
,4/18/2014,Proposed New Bridge Across the Manatee River Mile 15.0 at Parrish,U.S. Coast Guard,no,Yes,No,Yes,No,,Transport.,Project,,,
,9/2/2016,Proposed Resource Management Plans for the Beaver Dam Wash and Red Cliffs National Conservation Areas; Proposed Amendment to the St. George Field Office Resource Management Plan,Bureau of Land Management,no,No Mention,No Mention,No Mention,No Mention of EJ,,Land Management Plan,Plan,,,
,4/17/2015,Provo River Delta Restoration Project,Department of the Interior,no,Indeterminate,Indeterminate,Indeterminate,No,They say there will be no adverse impacts on EJ communities but they do not go into detail about these communities. Indeterminate becuase they don't define any thresholds or detail population stats. ,Conservation/Restoration,Project,,,
,9/6/2013,Purple Line Draft Section 4(f) Evaluation,Federal Transit Administration,no,Yes,Yes,Yes,Yes,They list a number of potential adverse effects to EJ communities. They say the project will offset those impacts with benefits. They say they will develop appropriuate mitigation measures but don't say what.,Transport.,Project,,,
,6/29/2018,Pyramid Highway/US 395 Connection,Federal Highway Administration,no,Yes,Yes,No,Yes,"Provide noise barriers, provide screening walls, provide landscaping and aesthetic treatments, provide improved sinage, provide/improve bike lanes and sidewalks, provide bus turnouts and amenities, provide new bus service",Transport.,Project,,,
,12/20/2013,Pyramid Way and McCarran Boulevard Intersection Improvement Project and Record of Decision,Federal Highway Administration,no,Indeterminate,No,Indeterminate,Indeterminate,"""Under the Preferred Alternative, the proposed project would directly and adversely impact minority population households because they are located within Census Block Groups that would experience displacements; however, these Block Groups contain more than two-thirds
non-minority residents. Therefore, it is not expected that displacements would be predominantly
experienced by minority population households or that they would be appreciably more severe or
greater in magnitude than the adverse effects involving displacements that would be experienced
by non-minority population households""",Transport.,Project,,,
,3/6/2015,Redlands Passenger Rail Project,Federal Transit Administration,no,Yes,Yes,Yes,Yes,"prepare traffic management plan, screening of construction staging areas, enhance exterior apperance of structual facilities, tree replacement, sound barrier screening and surface treatments, minimze exterior lighting in adjacent uses, employ noise-reducing measures during construction, prepare a community notification plan for project construction, design the project to be quiet zone ready, construct sound barriers, use ballast mats, resiliently supported ties, or measures of comparable effectiveness on portions of the rail near sensiitive receivers",Transport.,Project,,,
,6/14/2019,"Regulation of the Importation, Interstate Movement, and Intrastate Movement of Plant Pests",Animal and Plant Health Inspection Service,no,Indeterminate,No Mention,No Mention,No,,Conservation/Restoration,Policy,"Say adverse impacts are not expect to occur. Mentions what EJ is several times, but doesn't say specifically of there are EJ communities?",,
,1/24/2014,Remote Vaccination Program to Reduce the Prevalence of Brucellosis in Yellowstone Bison,National Park Service,no,No,No,No,No,,Conservation/Restoration,Program,,,
,2/14/2014,RES Americas Moapa Solar Energy Center,Bureau of Indian Affairs,no,Yes,Indeterminate,Yes,No,,Energy Gen/Trans,Project,"They talked about native american communties and them being counted as an EJ group, but I didn't really see a section specifying if low-income communities existed here",,
,5/3/2013,Rim Lakes Forest Restoration Project Amendment to the Apache-Sitgreaves National Forests Land and Resource Management Plan,Forest Service,no,No Mention,No Mention,No Mention,No mention of EJ,,Conservation/Restoration,Project,,,
,3/7/2014,Rockaway Delivery Lateral and Northeast Connector Projects,Federal Energy Regulatory Commission,no,No,No,No,No,,Energy Gen/Trans,Project,,,
,9/4/2015,Rocky Mountain Arsenal National Wildlife Refuge,Fish and Wildlife Service,no,No Mention,No Mention,No Mention,No mention of EJ,,Conservation/Restoration,Plan,,,
,11/16/2018,Sacramento Peak Observatory,National Science Foundation,no,No,No,No,No,,Gov. Facilities,Plan,,,
,7/10/2015,San Francisco Veterans Affairs medical Center Long Range Development Plan,Department of Veteran Affairs,no,Yes,Yes,Yes,No,,Gov. Facilities,Plan,,,
